station_id,name,lat,lon,address,capacity,current
302,340 - PLAZA NUEVA POMPEYA,-34.6518,-58.4158,3817 Traful,16,1
304,395 - Agronomia II,-34.5893,-58.4848,Av. Francisco Beiró 2120,20,1
307,341 - COMUNA 4,-34.65,-58.4248,AV PERITO MORENO 2881,12,1
308,251 - Solar de la Abadía,-34.5676,-58.4368,Maure 1819,28,1
309,298 - PLAZA DR. JUAN B. TERAN,-34.6214,-58.5198,Nogoya 5525,16,1
310,356 - ESTACIÓN LUGANO,-34.6795,-58.4742,Martiniano Leguizamón 4401,12,1
311,213 - Hospital Alvear,-34.5972,-58.4742,Av. Warnes 2626,16,1
316,205 - SAN MARTIN,-34.6056,-58.4535,1471 Cucha Cucha,28,1
318,285 - ESPINOSA,-34.6039,-58.4573,1785 Espinosa,20,1
322,289 - MONTAÑESES,-34.5513,-58.4542,2786 Montañeses,20,1
323,240 - ECHEVERRIA,-34.5654,-58.4593,1981 Vidal,24,1
324,280 - JURAMENTO,-34.5789,-58.4841,5209 Juramento,16,1
327,366 - VILLA OLÍMPICA,-34.6771,-58.4543,Escalada 4347,12,1
329,100 - Plaza Gurruchaga,-34.5931,-58.4352,1078 Gurruchaga,20,1
330,148 -La Paternal,-34.6008,-58.4721,PUNTA  ARENAS  1798,20,1
333,203 - Beiro,-34.6008,-58.5034,"Beiro 3572, CABA",20,1
335,206 - Galicia,-34.6159,-58.471,2502 Galicia,27,1
336,207 - PLAZA ARENALES,-34.5997,-58.5111,Nueva York 3949,28,1
340,359 - PLAZA BALCARCE,-34.5475,-58.4678,Jaramillo 2312,20,1
342,218 - Campana,-34.6168,-58.4843,1523 Campana,20,1
348,231 - Margariños Cervantes,-34.6105,-58.4744,2465 Margariños Cervantes,12,1
349,232 - Sucre y Martinez,-34.5704,-58.4663,Mcal. Antonio José de Sucre 3515,16,1
353,237 - Madero Office,-34.599,-58.3647,"367 Sanchez De Thompson, Mariquita",28,1
355,242 - Plazoleta Rafael del Riego,-34.5675,-58.4464,o´higins 1327,16,1
358,249 - Vidal,-34.5603,-58.4636,Vidal 2501,20,1
359,250 - Fleni,-34.5556,-58.4505,2292 Montañeses,20,1
361,258 - Plaza J.J. Paso,-34.5692,-58.4536,1399 Moldes,20,1
362,262 - Holmberg,-34.566,-58.4799,Holmberg 2819 y Nahuel Huapi,12,1
363,354 - José Martí,-34.6439,-58.4631,Eva Perón 3321,16,1
364,381 - Matienzo Y Arce,-34.5702,-58.4356,Teniente Benjamín Matienzo 1998,28,1
366,360 - Plaza Ramon Falcon,-34.6353,-58.4825,Cnel. Ramón L. Falcón 3992,12,1
367,287 - Belaustegui,-34.6167,-58.4777,Belaustegui 2910,16,1
368,378 - AGRONOMIA,-34.5981,-58.4821,4351 San Martin,12,1
369,304 - Navarro,-34.5922,-58.4918,Navarro 2625,16,1
370,305 - Plaza Martin Rodriguez,-34.591,-58.5003,3016 Pareja,20,1
371,269 - Plaza De La Misericordia,-34.6317,-58.4553,LAUTARO 400,12,1
372,322 - MARTÍ Y DIRECTORIO,-34.6364,-58.4701,"404 Marti, Jose",20,1
373,265 - Plaza Exodo Jujeño,-34.5823,-58.4811,Liverpool 2812,20,1
374,367 - Eva Perón,-34.6471,-58.4698,Primera Junta 3898,16,1
375,301 - Arregui Y Terrada,-34.6046,-58.4848,2793 Arregui,16,1
376,324 - Las Victorias,-34.6274,-58.4881,Av. Gaona 4660,24,1
378,215 - HOSPITAL ALVAREZ,-34.6231,-58.4683,Bolivia 683,20,1
379,390 - De Los Ombues,-34.5602,-58.4281,Av. de los Ombúes 300,20,1
381,274 - Gavilán,-34.6162,-58.4659,Gavilán 1200,16,1
382,204 - Biarritz,-34.6054,-58.4773,Biarritz 2403,16,1
383,263 - Plaza Echeverria,-34.5718,-58.4895,Av. Triunvirato 5100 y Nahuel Huapi 5150,20,1
384,267 - Plaza 25 De Agosto,-34.5795,-58.4618,14 de julio de 1194,18,1
385,268 - Plaza Aristóbulo Del Valle,-34.6062,-58.4931,Campana & Marcos Sastre  ,16,0
386,277 - Coghlan,-34.5654,-58.4759,2647 Estomba,8,1
387,278 - Donato Alvarez,-34.602,-58.4656,"1540 Garcia, Juan Agustin",16,1
392,297 - TRONADOR Y GARCÍA DEL RÍO,-34.5546,-58.4854,Tronador y Garcia del Rio,16,1
393,300 - Jose Artigas,-34.5903,-58.4669,Av. del Campo 1301,28,1
395,303 - Huaura,-34.5968,-58.4533,Huaura 1405 y Fitz Roy,16,1
400,313 - De Los Incas,-34.579,-58.4698,Av. de los Incas 4138,20,1
403,316 - Buenos Aires,-34.6447,-58.3939,Suarez 3150,31,1
407,330 - Parque Avellaneda,-34.6424,-58.4783,Remedios 3895,16,1
408,364 - CERRETTI Y MANUELA PEDRAZA,-34.5691,-58.5002,Ceretti 3407,16,1
412,372 - VILLA SOLDATI,-34.6604,-58.432,Carlos María Ramírez 2510,12,1
413,382 - MERCADO DE HACIENDA MATADEROS,-34.6618,-58.5013,Av. Lisandro de la Torre 2319,8,1
414,385 - Franklin,-34.6113,-58.45,Franklin 1100,16,1
