station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,is_charging_station,status,is_installed,is_renting,is_returning,traffic,num_bikes_available_types.mechanical,num_bikes_available_types.ebike
259,15,1,0,0,1726438139,False,IN_SERVICE,1,1,1,,15,0
260,10,1,1,0,1726438143,False,IN_SERVICE,1,1,1,,10,0
261,2,0,14,0,1726438056,False,IN_SERVICE,1,1,1,,2,0
262,12,0,4,0,1726438072,False,IN_SERVICE,1,1,1,,12,0
263,13,3,4,0,1726438214,False,IN_SERVICE,1,1,1,,13,0
264,8,0,8,0,1726438166,False,IN_SERVICE,1,1,1,,8,0
265,22,2,4,0,1726438208,False,IN_SERVICE,1,1,1,,22,0
267,6,0,10,0,1726438055,False,IN_SERVICE,1,1,1,,6,0
268,27,5,4,0,1726438061,False,IN_SERVICE,1,1,1,,27,0
269,6,0,12,0,1726438183,False,IN_SERVICE,1,1,1,,6,0
270,19,0,9,0,1726438061,False,IN_SERVICE,1,1,1,,19,0
271,0,0,20,0,1726438129,False,IN_SERVICE,1,1,1,,0,0
273,4,1,11,0,1726438143,False,IN_SERVICE,1,1,1,,4,0
275,7,0,13,0,1726438166,False,IN_SERVICE,1,1,1,,7,0
277,7,4,6,0,1726438179,False,IN_SERVICE,1,1,1,,7,0
278,9,0,7,0,1726438161,False,IN_SERVICE,1,1,1,,9,0
280,22,2,4,0,1726438149,False,IN_SERVICE,1,1,1,,22,0
281,17,4,3,0,1726438221,False,IN_SERVICE,1,1,1,,17,0
284,20,0,0,0,1726438201,False,IN_SERVICE,1,1,1,,20,0
289,13,4,7,0,1726438072,False,IN_SERVICE,1,1,1,,13,0
291,3,2,11,0,1726438074,False,IN_SERVICE,1,1,1,,3,0
299,7,2,10,0,1726438175,False,IN_SERVICE,1,1,1,,7,0
301,4,2,14,0,1726438178,False,IN_SERVICE,1,1,1,,4,0
302,6,1,9,0,1726438224,False,IN_SERVICE,1,1,1,,6,0
304,12,0,8,0,1726438107,False,IN_SERVICE,1,1,1,,12,0
307,9,0,3,0,1726438123,False,IN_SERVICE,1,1,1,,9,0
308,18,1,9,0,1726438136,False,IN_SERVICE,1,1,1,,18,0
309,1,1,14,0,1726438131,False,IN_SERVICE,1,1,1,,1,0
310,2,0,10,0,1726438095,False,IN_SERVICE,1,1,1,,2,0
311,5,0,11,0,1726438189,False,IN_SERVICE,1,1,1,,5,0
316,7,0,21,0,1726438199,False,IN_SERVICE,1,1,1,,7,0
318,13,1,6,0,1726438058,False,IN_SERVICE,1,1,1,,13,0
322,6,0,14,0,1726438120,False,IN_SERVICE,1,1,1,,6,0
323,1,1,22,0,1726438078,False,IN_SERVICE,1,1,1,,1,0
324,14,0,2,0,1726438196,False,IN_SERVICE,1,1,1,,14,0
327,1,1,10,0,1726438116,False,IN_SERVICE,1,1,1,,1,0
329,8,1,11,0,1726438161,False,IN_SERVICE,1,1,1,,8,0
330,8,0,12,0,1726438231,False,IN_SERVICE,1,1,1,,8,0
333,6,1,13,0,1726438117,False,IN_SERVICE,1,1,1,,6,0
335,17,3,7,0,1726438147,False,IN_SERVICE,1,1,1,,17,0
336,23,2,3,0,1726438124,False,IN_SERVICE,1,1,1,,23,0
340,1,0,19,0,1726438145,False,IN_SERVICE,1,1,1,,1,0
342,15,0,5,0,1726438085,False,IN_SERVICE,1,1,1,,15,0
348,3,0,9,0,1726438160,False,IN_SERVICE,1,1,1,,3,0
349,5,0,11,0,1726438163,False,IN_SERVICE,1,1,1,,5,0
353,19,1,8,0,1726438225,False,IN_SERVICE,1,1,1,,19,0
355,1,0,15,0,1726438078,False,IN_SERVICE,1,1,1,,1,0
358,3,0,17,0,1726438177,False,IN_SERVICE,1,1,1,,3,0
359,17,2,1,0,1726438158,False,IN_SERVICE,1,1,1,,17,0
361,8,2,10,0,1726438218,False,IN_SERVICE,1,1,1,,8,0
362,2,0,10,0,1726438066,False,IN_SERVICE,1,1,1,,2,0
363,13,1,2,0,1726438061,False,IN_SERVICE,1,1,1,,13,0
364,6,0,22,0,1726438113,False,IN_SERVICE,1,1,1,,6,0
366,2,5,5,0,1726438102,False,IN_SERVICE,1,1,1,,2,0
367,11,2,3,0,1726438156,False,IN_SERVICE,1,1,1,,11,0
368,9,0,3,0,1726438070,False,IN_SERVICE,1,1,1,,9,0
369,1,0,15,0,1726438104,False,IN_SERVICE,1,1,1,,1,0
370,12,0,8,0,1726438222,False,IN_SERVICE,1,1,1,,12,0
371,6,0,6,0,1726438207,False,IN_SERVICE,1,1,1,,6,0
372,4,0,16,0,1726438100,False,IN_SERVICE,1,1,1,,4,0
373,16,0,4,0,1726438056,False,IN_SERVICE,1,1,1,,16,0
374,11,0,5,0,1726438117,False,IN_SERVICE,1,1,1,,11,0
375,8,2,6,0,1726438180,False,IN_SERVICE,1,1,1,,8,0
376,16,1,7,0,1726438162,False,IN_SERVICE,1,1,1,,16,0
378,10,0,10,0,1726438107,False,IN_SERVICE,1,1,1,,10,0
379,6,0,13,0,1726438174,False,IN_SERVICE,1,1,1,,6,0
381,8,3,5,0,1726438186,False,IN_SERVICE,1,1,1,,8,0
382,10,1,5,0,1726438118,False,IN_SERVICE,1,1,1,,10,0
383,2,0,18,0,1726438208,False,IN_SERVICE,1,1,1,,2,0
384,2,1,15,0,1726438058,False,IN_SERVICE,1,1,1,,2,0
385,11,0,5,0,1726438120,False,IN_SERVICE,1,1,1,,11,0
386,4,1,3,0,1726438216,False,IN_SERVICE,1,1,1,,4,0
387,11,0,5,0,1726438136,False,IN_SERVICE,1,1,1,,11,0
392,7,0,9,0,1726438087,False,IN_SERVICE,1,1,1,,7,0
