station_id,name,lat,lon,address,capacity,start_date,end_date,current
210,335 - General Urquiza,-34.572165,-58.411278,Figueroa Alcorta & Sarmiento,19,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.147821,0
212,129 - Velasco,-34.600275,-58.434875,J.Ramirez de Velasco 285,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.147821,0
213,136 - Acevedo,-34.599659,-58.442685,Acevedo y Padilla,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.162915,0
215,113 - Guatemala,-34.585878,-58.424996,Guatemala 4773,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.163542,0
216,059 - Coronel Diaz,-34.589968,-58.411493,Guemes 3330 & Coronel Diaz,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.165406,0
219,140 - Las Casas,-34.6360274,-58.4156332,Metan 3661,23,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.165406,0
220,097 - Avelino Diaz,-34.635128,-58.427573,Avelino Diaz&Doblas,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.165406,0
222,160 - Godoy Cruz y Libertador,-34.5759189160704,-58.41854288458634,Av. Cerviño 4301,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.165406,0
223,178 - José Marmol,-34.6234,-58.424853,803 José Marmol,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.165406,0
227,188 - Aranguren,-34.61036075,-58.43276297,Dr. Juan Felipe Aranguren 131,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.165406,0
228,010 - Madero UCA,-34.6164879,-58.3656683,"1600 Moreau De Justo, Alicia Av.",12,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.165406,0
229,243 - PLAZOLETA CELEDONIO FLORES,-34.581576,-58.45153,Cordoba 6599,12,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.165406,0
230,259 - PLAZA CASTELLI,-34.5678255,-58.4645037,Echeverria 3249,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.165406,0
231,384 - PLAZA BENITO NAZAR,-34.60511787,-58.445999589,VALENTIN VIRASORO 1349,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.165406,0
232,252 - Tamborini,-34.5599779,-58.4790578,Tamborini 3821,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.165406,0
234,344 - UNIVERSIDAD DI TELLA,-34.5480059,-58.44694390000001,Figueroa Alcorta 7350,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.165406,0
235,281 - Villa Urquiza,-34.573734,-58.48692409,Av. Triunvirato 4800,24,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.165406,0
236,254 - Plaza Rafael Hernandez,-34.562161,-58.455166,Vuelta de Obligado 2004,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.165406,0
237,302 - ESTACION VILLA LURO,-34.63670935917866,-58.50135525810292,Virgilio 90,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.165406,0
239,391 - Plaza República de Ecuador,-34.56533652,-58.42062076,Av. Pres. Figueroa Alcorta 5201,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.181047,0
241,348 - Villa del Parque,-34.600874,-58.494123,"Gutierrez, Ricardo 3105",12,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.181047,0
242,103 - MALBA,-34.57694914795284,-58.40398420287856,Av. Pres. Figueroa Alcorta 3451,32,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.181047,0
245,248 - Husares,-34.552594,-58.4429397,Husares 2201,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.181047,0
247,282 - Tronador,-34.5838957,-58.466494,Triunvirato Av. & Tronador,18,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.181047,0
248,346 - Plaza Zapiola,-34.573522,-58.474635,2001 Donado,24,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.181047,0
251,388 - Plaza Jose C Paz,-34.641728,-58.402483,Dr. Prof. Pedro Chutro 2881,12,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.181047,0
252,331 - CALIFORNIA,-34.647121,-58.374336,California 1774 y General Hornos,24,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.181047,0
253,383 - BOEDO Y VENEZUELA,-34.6163544,-58.4170737,BOEDO 339,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.181047,0
254,276 - PRIMERA JUNTA,-34.62079441851816,-58.4413509067459,Av. Rivadavia 5408 ,15,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.181047,0
255,374 - Puan,-34.622092,-58.448547,Yerbal 1290,19,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.181047,0
257,264 - Plaza Marcos Sastre,-34.570825,-58.481236,Miller & Monroe,24,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.181047,0
258,336 - La Pampa,-34.565521,-58.455334,La Pampa 2512 & Ciudad de la Paz,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.181047,0
259,290 - Club Excursionistas,-34.5591522,-58.4441762,Migueletes 1782 (y La Pampa),16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.181047,0
260,371 - Paseo de las Americas,-34.5530794109,-58.43522348866,Av. Pres Figueroa Alcorta 6400,12,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.181047,0
261,272 - Plaza Bruno Giordano,-34.616151,-58.440584,Bruno Giordano&Neuquen,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.196762,0
262,349 - Plaza Saenz Peña,-34.6097088334705,-58.46729693359809,Andrés Lamas 1699,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.197273,0
263,270 - PLAZA DEL ANGEL GRIS,-34.622003,-58.457555,Calcena & Avellaneda Av.,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.198738,0
