station_id,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,is_charging_station,rental_methods,groups,obcn,short_name,nearby_distance,_ride_code_support,cross_street
155,155 - Parque José Evaristo Uriburu,SMARTLITMAPFRAME,-34.6451,-58.4175,, Quilmes 491,C1437,12,False,"['KEY', 'TRANSITCARD', 'PHONE']",['NUEVA POMPEYA'],,,1000.0,True,.
156,156 - Plaza Alemania,SMARTLITMAPFRAME,-34.5776,-58.4075,,2939 Cavia,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,,1000.0,True,Cavia &  Av. Del Libertador
158,158 - VILLARROEL,SMARTLITMAPFRAME,-34.5927,-58.4451,,1321 Villarroel & Humboldt CABA,1111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['ZONA 1'],,,1000.0,True,
161,161 - Humahuaca,SMARTLITMAPFRAME,-34.6021,-58.4197,,3912 Humahuaca,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['ALMAGRO'],,,1000.0,True,Humahuaca &  Jeronimo Salguero
162,162 - LARREA Y BARTOLOMÉ MITRE,SMARTLITMAPFRAME,-34.609,-58.4019,,80 Larrea,C1030,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['BALVANERA'],,,1000.0,True,"80 Larrea & Mitre, Bartolome"
163,163 - ONCE II,SMARTLITMAPFRAME,-34.6096,-58.4064,,Bartolome Mitre & Av. Puyrredon,11111,30,False,"['KEY', 'TRANSITCARD', 'PHONE']",['BALVANERA'],,,1000.0,True,
164,164 - FACULTAD DE INGENIERIA,SMARTLITMAPFRAME,-34.6173,-58.3699,,AV. PASEO COLÓN 811,1111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN TELMO'],,,1000.0,True,Estados Unidos 21 &Av. Ing. Huergo
165,165 - PLAZA MONSEÑOR MIGUEL DE ANDREA,SMARTLITMAPFRAME,-34.597,-58.4076,,Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera,C1170,12,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RECOLETA'],,,1000.0,True,Dr Tomas Manuel De  Anchorena &  Jose A. Cabrera
166,166 - Cementerio de Recoleta,SMARTLITMAPFRAME,-34.5883,-58.3941,,Vicente López 2100,1111,12,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RECOLETA'],,,1000.0,True,Vicente Lopez & Junin
167,275 - PLAZA 24 DE SEPTIEMBRE,SMARTLITMAPFRAME,-34.607,-58.4485,,1355 San Martin Av.,1111,24,False,"['KEY', 'TRANSITCARD', 'PHONE']",['VILLA CRESPO'],,,1000.0,True,
168,168 - Estados Unidos,SMARTLITMAPFRAME,-34.6186,-58.3812,,Estados Unidos & Lima,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['CONSTITUCION'],,,1609.34,True,Estados Unidos & Lima
169,169 - FACULTAD DE PSICOLOGIA,SMARTLITMAPFRAME,-34.6131,-58.415,,Av. Hipólito Yrigoyen 3417,C1206,19,False,"['KEY', 'TRANSITCARD', 'PHONE']",['ALMAGRO'],,,1000.0,True,-
171,171 - Pasteur,SMARTLITMAPFRAME,-34.6033,-58.3998,,519 Pasteur,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['BALVANERA'],,,1000.0,True,Pasteur & Lavalle
172,172 - BRASIL,SMARTLITMAPFRAME,-34.6254,-58.3711,,BRASIL&DEFENSA,C1143,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN TELMO'],,,1000.0,True,BRASIL&DEFENSA
175,147 - Constitución,SMARTLITMAPFRAME,-34.6269,-58.3807,0.0,Avenida Juan de Garay 1050,111,54,False,"['KEY', 'TRANSITCARD', 'PHONE']",['CONSTITUCION'],147,147,984916.08,True,
176,067 - PARQUE SARMIENTO I,SMARTLITMAPFRAME,-34.5553,-58.4948,,Av. Dr. Ricardo Balbín 4402,1111,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAAVEDRA'],,,1000.0,True,
177,177 -PLANETARIO,SMARTLITMAPFRAME,-34.5682,-58.4121,,Av Casares y Av Belisario Roldan,11111,12,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,,1000.0,True,
179,179 - CASA SAN,SMARTLITMAPFRAME,-34.6385,-58.3643,,Olavarría 811,1111,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['BOCA'],,,1000.0,True,Olavarría 811
181,181 - BILLINGHURST Y MANSILLA,SMARTLITMAPFRAME,-34.5927,-58.412,,"1520 Billinghurst & Mansilla, Lucio Norberto, General",11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RECOLETA'],,,1000.0,True,"1520 Billinghurst & Mansilla, Lucio Norberto, General"
