station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,is_charging_station,status,is_installed,is_renting,is_returning,traffic,num_bikes_available_types.mechanical,num_bikes_available_types.ebike
472,5,1,10,0,1729015121,False,IN_SERVICE,1,1,1,,5,0
473,3,1,8,0,1729015164,False,IN_SERVICE,1,1,1,,3,0
474,6,2,8,0,1729015210,False,IN_SERVICE,1,1,1,,6,0
475,9,0,3,0,1729015226,False,IN_SERVICE,1,1,1,,9,0
476,2,2,8,0,1729015172,False,IN_SERVICE,1,1,1,,2,0
477,5,0,7,0,1729015089,False,IN_SERVICE,1,1,1,,5,0
478,0,1,11,0,1729015130,False,IN_SERVICE,1,1,1,,0,0
479,1,1,22,0,1729015232,False,IN_SERVICE,1,1,1,,1,0
480,3,4,5,0,1729015236,False,IN_SERVICE,1,1,1,,3,0
481,11,2,3,0,1729015239,False,IN_SERVICE,1,1,1,,11,0
482,3,5,4,0,1729015087,False,IN_SERVICE,1,1,1,,3,0
483,0,1,11,0,1729010955,False,IN_SERVICE,1,1,1,,0,0
484,5,2,5,0,1729015142,False,IN_SERVICE,1,1,1,,5,0
486,2,1,9,0,1729015144,False,IN_SERVICE,1,1,1,,2,0
487,3,0,9,0,1729009105,False,IN_SERVICE,1,1,1,,3,0
488,7,0,5,0,1729015077,False,IN_SERVICE,1,1,1,,7,0
489,8,0,8,0,1729014924,False,IN_SERVICE,1,1,1,,8,0
490,6,5,5,0,1729015055,False,IN_SERVICE,1,1,1,,6,0
491,1,2,5,0,1729015094,False,IN_SERVICE,1,1,1,,1,0
492,1,2,17,0,1729015224,False,IN_SERVICE,1,1,1,,1,0
493,7,0,1,0,1729015129,False,IN_SERVICE,1,1,1,,7,0
494,0,0,12,0,1729015229,False,IN_SERVICE,1,1,1,,0,0
496,0,0,12,0,1729015116,False,IN_SERVICE,1,1,1,,0,0
497,1,1,10,0,1729015124,False,IN_SERVICE,1,1,1,,1,0
498,2,2,8,0,1729015137,False,IN_SERVICE,1,1,1,,2,0
499,0,1,15,1,1729015222,False,IN_SERVICE,1,1,1,,0,0
